菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_235,沙门菌,,土壤,,>512,0.50,1.00,64,16,512.00,>256,16/304,1,2,<=0.03,4,4,0.5,8/4,>512
demo_236,沙门菌,,鸡泄殖腔,,>512,0.50,0.50,1,32,1,4,<0.06/1.2,0.03,0.25,<0.03,8,8,0.5,2/1,32
demo_237,沙门菌,,堆肥,,>512,0.50,>256,1,32,2,4,<0.06/1.2,0.03,0.12,<0.03,8,8,2,1/0.5,16
demo_238,沙门菌,,鸡泄殖腔,,>512,0.25,0.50,0.50,16.00,2.00,2.00,0.5/9.5,0.50,1.00,<0.03,8,16,4.00,8/16,>512
demo_239,沙门菌,,鸡泄殖腔,,>512,8.00,128.00,0.5,32,2,2,<0.06/1.2,0.5,1,<0.03,8,8,4,1/0.5,16
demo_240,沙门菌,,鸡泄殖腔,,>512,1.00,1.00,8,32,512.00,>256,0.12/2.4,1,2,<=0.03,4,>64,0.5,8/4,>512
demo_241,沙门菌,,鸡泄殖腔,,>512,0.50,1.00,0.50,128.00,2.00,2.00,>32/608,0.25,0.50,<0.03,8,4,4.00,8/4,32.00
demo_242,沙门菌,,鸡泄殖腔,,>512,0.50,0.50,0.5,32,2,4,<0.06/1.2,0.03,0.25,<0.03,8,8,0.5,1/0.5,16
demo_243,沙门菌,,鸡泄殖腔,,>512,1.00,1.00,1,32,>512,>256,>32/608,>32,>64,<=0.03,4,8,0.5,1/0.5,>512
demo_244,沙门菌,,鸡泄殖腔,,>512,0.50,0.50,1,>128,128,256,0.25/4.8,0.5,1,<0.03,4,>64,0.5,1/0.5,>512
demo_245,沙门菌,,鸡泄殖腔,,>512,0.50,0.50,2,>128,128,256,0.25/4.8,0.25,1,<0.03,8,>64,0.5,2/1,>512
demo_246,沙门菌,,鸡泄殖腔,,>512,16.00,>256,1.00,16.00,2.00,2.00,0.12/2.4,0.25,0.50,<0.03,8,8,4.00,2/1,32.00
demo_247,沙门菌,,鸡泄殖腔,,>512,0.50,0.50,1,>128,128,256,0.25/4.8,0.25,2,<0.03,8,>64,0.5,1/0.5,>512
demo_248,沙门菌,,污水,,>512,16.00,>256,1.00,16.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,32,8,4.00,1/0.5,32.00
demo_249,沙门菌,,污水,,>512,0.50,1.00,0.50,16.00,1.00,2.00,<0.06/1.2,0.25,0.25,<0.03,8,4,4.00,1/0.5,16.00
demo_250,沙门菌,,孵化场,,>512,64.00,>256,1,32,2,4,<0.06/1.2,0.06,0.5,<0.03,4,8,0.5,1/0.5,16
demo_251,沙门菌,,苍蝇,,>512,32.00,>256,0.50,64,2.00,2.00,0.25/4.8,0.50,1.00,<0.03,16,8,4.00,8/16,>512
demo_252,沙门菌,,鸡泄殖腔,,>512,1.00,1.00,1,16,1,4,<0.06/1.2,0.5,1,<0.03,8,8,0.5,1/0.5,16
demo_253,沙门菌,,孵化场,,>512,0.25,1.00,0.5,16,2,2,0.12/2.4,0.25,0.5,<=0.03,4,8,4,0.5/0.25,16
demo_254,沙门菌,,鸡泄殖腔,,>512,<0.12,1.00,0.5,32,2,2,<0.06/1.2,0.5,1,<0.03,8,8,4,1/0.5,16
demo_255,沙门菌,,孵化场,,>512,0.50,1.00,0.50,16.00,2.00,4.00,0.12/2.4,0.50,1.00,<0.03,8,8,4.00,1/0.5,8.00
demo_256,沙门菌,,鸡泄殖腔,,>512,64.00,>256,1,16,4,4,<0.06/1.2,0.03,0.12,<0.03,8,8,0.5,1/0.5,16
demo_257,沙门菌,,鸡泄殖腔,,>512,16.00,>256,0.5,16,64,2,<0.06/1.2,0.5,2,<0.03,8,8,1,8/4,16
demo_258,沙门菌,,孵化场,,>512,32.00,>256,256.00,16.00,2.00,2.00,<0.06/1.2,0.50,2.00,<0.03,8,8,4.00,8/16,32.00
demo_259,沙门菌,,孵化场,,>512,1.00,0.50,0.5,32,2,2,<0.06/1.2,0.25,0.5,<0.03,4,4,2,1/0.5,16
demo_260,沙门菌,,鸡泄殖腔,,>512,2.00,1.00,1,16,2,4,<0.06/1.2,0.25,1,<0.03,8,4,4,1/0.5,16
demo_261,沙门菌,,孵化场,,>512,256.00,>256,1,16,128,2,0.25/4.8,0.5,1,<0.03,8,8,1,1/0.5,>512
demo_262,沙门菌,,孵化场,,,8.00,256.00,0.50,32.00,2.00,2.00,<0.06/1.2,8.00,8.00,<0.03,8,64,8.00,1/0.5,16.00
demo_263,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_264,沙门菌,,鸡盲肠,,,,,,,,,,,,,,,,,
demo_265,沙门菌,,鸡盲肠,,,,,,,,,,,,,,,,,
demo_266,沙门菌,,鸭盲肠,,,,,,,,,,,,,,,,,
demo_267,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_268,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_269,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_270,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_271,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_272,沙门菌,,鸡泄殖腔,,,,,,,,,,,,,,,,,
demo_273,沙门菌,,超市鸡肉,,,,,,,,,,,,,,,,,
demo_274,沙门菌,,超市鸡肉,,,,,,,,,,,,,,,,,
demo_275,沙门菌,,超市鸡肉,,,,,,,,,,,,,,,,,
demo_276,沙门菌,,苍蝇,,,,,,,,,,,,,,,,,
